date,market,crop,price_rwf
2008-01-01,Bugesera,beans,270.0
2008-02-01,Bugesera,beans,245.0
2008-03-01,Bugesera,beans,250.0
2008-04-01,Bugesera,beans,250.0
2008-05-01,Bugesera,beans,250.0
2008-06-01,Bugesera,beans,255.0
2008-07-01,Bugesera,beans,296.67
2008-08-01,Bugesera,beans,320.0
2008-09-01,Bugesera,beans,375.0
2008-11-01,Bugesera,beans,300.0
2008-12-01,Bugesera,beans,300.0
2009-01-01,Bugesera,beans,212.5
2009-02-01,Bugesera,beans,250.0
2009-03-01,Bugesera,beans,200.0
2009-04-01,Bugesera,beans,250.0
2009-05-01,Bugesera,beans,190.0
2009-06-01,Bugesera,beans,204.17
2009-07-01,Bugesera,beans,192.5
2009-08-01,Bugesera,beans,239.17
2009-09-01,Bugesera,beans,301.67
2009-10-01,Bugesera,beans,291.0
2009-11-01,Bugesera,beans,348.75
2009-12-01,Bugesera,beans,350.42
2010-01-01,Bugesera,beans,220.62
2010-02-01,Bugesera,beans,251.25
2010-03-01,Bugesera,beans,277.5
2010-04-01,Bugesera,beans,263.75
2010-05-01,Bugesera,beans,218.75
2010-06-01,Bugesera,beans,245.42
2010-07-01,Bugesera,beans,255.5
2010-08-01,Bugesera,beans,269.375
2010-09-01,Bugesera,beans,301.66499999999996
2010-10-01,Bugesera,beans,311.5
2010-11-01,Bugesera,beans,285.105
2010-12-01,Bugesera,beans,288.75
2011-01-01,Bugesera,beans,263.46000000000004
2011-02-01,Bugesera,beans,268.83500000000004
2011-03-01,Bugesera,beans,300.66499999999996
2011-04-01,Bugesera,beans,306.25
2011-05-01,Bugesera,beans,307.96000000000004
2011-06-01,Bugesera,beans,255.29000000000002
2011-07-01,Bugesera,beans,268.375
2011-08-01,Bugesera,beans,276.53999999999996
2011-09-01,Bugesera,beans,283.865
2011-10-01,Bugesera,beans,259.625
2011-11-01,Bugesera,beans,267.125
2011-12-01,Bugesera,beans,313.1333333333333
2012-01-01,Bugesera,beans,206.25
2012-02-01,Bugesera,beans,222.5
2012-03-01,Bugesera,beans,250.0
2012-04-01,Bugesera,beans,300.0
2012-05-01,Bugesera,beans,282.125
2012-06-01,Bugesera,beans,282.425
2012-07-01,Bugesera,beans,309.975
2012-08-01,Bugesera,beans,318.21500000000003
2012-09-01,Bugesera,beans,333.3333333333333
2012-10-01,Bugesera,beans,366.6666666666667
2012-11-01,Bugesera,beans,341.71000000000004
2012-12-01,Bugesera,beans,331.25
2013-01-01,Bugesera,beans,255.125
2013-02-01,Bugesera,beans,278.0
2013-03-01,Bugesera,beans,299.0
2013-04-01,Bugesera,beans,322.5
2013-05-01,Bugesera,beans,345.0
2013-06-01,Bugesera,beans,335.0
2013-07-01,Bugesera,beans,339.53999999999996
2013-08-01,Bugesera,beans,352.0
2013-09-01,Bugesera,beans,477.78999999999996
2013-10-01,Bugesera,beans,508.25
2013-11-01,Bugesera,beans,524.65
2013-12-01,Bugesera,beans,370.75
2014-01-01,Bugesera,beans,320.05
2014-02-01,Bugesera,beans,357.33500000000004
2014-03-01,Bugesera,beans,405.28999999999996
2014-04-01,Bugesera,beans,397.865
2014-05-01,Bugesera,beans,350.0
2014-06-01,Bugesera,beans,421.625
2014-07-01,Bugesera,beans,402.83500000000004
2014-08-01,Bugesera,beans,399.125
2014-09-01,Bugesera,beans,402.83500000000004
2014-10-01,Bugesera,beans,390.2
2014-11-01,Bugesera,beans,346.625
2014-12-01,Bugesera,beans,311.67
2015-01-01,Bugesera,beans,250.0
2015-02-01,Bugesera,beans,278.66499999999996
2015-03-01,Bugesera,beans,306.96000000000004
2015-04-01,Bugesera,beans,347.16499999999996
2015-05-01,Bugesera,beans,354.125
2015-06-01,Bugesera,beans,352.83500000000004
2015-07-01,Bugesera,beans,289.625
2015-08-01,Bugesera,beans,350.0
2015-09-01,Bugesera,beans,363.96500000000003
2015-10-01,Bugesera,beans,400.25
2015-11-01,Bugesera,beans,441.75
2015-12-01,Bugesera,beans,495.7
2012-06-01,Burera,beans,374.0
2012-07-01,Burera,beans,346.0
2012-08-01,Burera,beans,325.0
2012-11-01,Burera,beans,350.0
2012-12-01,Burera,beans,346.67
2013-01-01,Burera,beans,342.0
2013-02-01,Burera,beans,302.0
2013-03-01,Burera,beans,305.67
2013-04-01,Burera,beans,343.0
2013-05-01,Burera,beans,363.33
2013-06-01,Burera,beans,398.67
2013-07-01,Burera,beans,377.75
2013-08-01,Burera,beans,386.5
2013-09-01,Burera,beans,466.6
2013-10-01,Burera,beans,517.5
2013-11-01,Burera,beans,533.33
2013-12-01,Burera,beans,500.0
2014-01-01,Burera,beans,377.67
2014-02-01,Burera,beans,427.67
2014-03-01,Burera,beans,429.25
2014-04-01,Burera,beans,461.0
2014-05-01,Burera,beans,445.75
2014-06-01,Burera,beans,383.33
2014-07-01,Burera,beans,376.67
2014-08-01,Burera,beans,388.0
2014-09-01,Burera,beans,406.75
2014-11-01,Burera,beans,377.0
2014-12-01,Burera,beans,350.0
2015-01-01,Burera,beans,350.0
2015-02-01,Burera,beans,330.75
2015-03-01,Burera,beans,336.0
2015-04-01,Burera,beans,395.75
2015-05-01,Burera,beans,481.0
2015-06-01,Burera,beans,460.75
2015-07-01,Burera,beans,399.0
2015-08-01,Burera,beans,395.75
2015-09-01,Burera,beans,413.2
2015-10-01,Burera,beans,433.33
2015-11-01,Burera,beans,479.0
2015-12-01,Burera,beans,511.0
2008-01-01,Gakenke,beans,251.66666666666666
2008-02-01,Gakenke,beans,256.6666666666667
2008-03-01,Gakenke,beans,270.8333333333333
2008-04-01,Gakenke,beans,261.6666666666667
2008-05-01,Gakenke,beans,270.8333333333333
2008-06-01,Gakenke,beans,285.8333333333333
2008-07-01,Gakenke,beans,327.77666666666664
2008-08-01,Gakenke,beans,355.0
2008-09-01,Gakenke,beans,375.0
2008-10-01,Gakenke,beans,384.1666666666667
2008-11-01,Gakenke,beans,337.5
2008-12-01,Gakenke,beans,293.75
2009-01-01,Gakenke,beans,266.25
2009-02-01,Gakenke,beans,265.0
2009-03-01,Gakenke,beans,245.0
2009-04-01,Gakenke,beans,248.125
2009-05-01,Gakenke,beans,248.75
2009-06-01,Gakenke,beans,238.125
2009-07-01,Gakenke,beans,244.79
2009-08-01,Gakenke,beans,272.0
2009-09-01,Gakenke,beans,306.67
2009-10-01,Gakenke,beans,341.91499999999996
2009-11-01,Gakenke,beans,400.575
2009-12-01,Gakenke,beans,379.81
2010-01-01,Gakenke,beans,296.875
2010-02-01,Gakenke,beans,257.5
2010-03-01,Gakenke,beans,247.98000000000002
2010-04-01,Gakenke,beans,241.685
2010-05-01,Gakenke,beans,250.31
2010-06-01,Gakenke,beans,249.685
2010-07-01,Gakenke,beans,262.5
2010-08-01,Gakenke,beans,279.41
2010-09-01,Gakenke,beans,295.27
2010-10-01,Gakenke,beans,291.6666666666667
2010-11-01,Gakenke,beans,285.6666666666667
2010-12-01,Gakenke,beans,274.9433333333333
2011-01-01,Gakenke,beans,234.63333333333333
2011-02-01,Gakenke,beans,229.44333333333336
2011-03-01,Gakenke,beans,244.68999999999997
2011-04-01,Gakenke,beans,271.3066666666667
2011-05-01,Gakenke,beans,332.1666666666667
2011-06-01,Gakenke,beans,311.71666666666664
2011-07-01,Gakenke,beans,300.7
2011-08-01,Gakenke,beans,309.91
2011-09-01,Gakenke,beans,296.6433333333334
2011-10-01,Gakenke,beans,305.175
2011-11-01,Gakenke,beans,314.125
2011-12-01,Gakenke,beans,298.0375
2012-01-01,Gakenke,beans,263.534
2012-02-01,Gakenke,beans,267.416
2012-03-01,Gakenke,beans,289.554
2012-04-01,Gakenke,beans,322.35
2012-05-01,Gakenke,beans,304.5
2012-06-01,Gakenke,beans,335.966
2012-07-01,Gakenke,beans,326.586
2012-08-01,Gakenke,beans,323.158
2012-09-01,Gakenke,beans,330.0
2012-10-01,Gakenke,beans,350.0
2012-11-01,Gakenke,beans,339.375
2012-12-01,Gakenke,beans,316.51599999999996
2013-01-01,Gakenke,beans,266.25
2013-02-01,Gakenke,beans,286.8
2013-03-01,Gakenke,beans,310.23400000000004
2013-04-01,Gakenke,beans,347.866
2013-05-01,Gakenke,beans,362.616
2013-06-01,Gakenke,beans,384.65
2013-07-01,Gakenke,beans,371.616
2013-08-01,Gakenke,beans,374.875
2013-09-01,Gakenke,beans,473.18
2013-10-01,Gakenke,beans,522.3
2013-11-01,Gakenke,beans,538.5
2013-12-01,Gakenke,beans,441.8
2014-01-01,Gakenke,beans,364.0
2014-02-01,Gakenke,beans,385.3
2014-03-01,Gakenke,beans,407.556
2014-04-01,Gakenke,beans,409.116
2014-05-01,Gakenke,beans,392.884
2014-06-01,Gakenke,beans,397.954
2014-07-01,Gakenke,beans,384.75
2014-08-01,Gakenke,beans,381.5825
2014-09-01,Gakenke,beans,384.0833333333333
2014-10-01,Gakenke,beans,367.5
2014-11-01,Gakenke,beans,366.45
2014-12-01,Gakenke,beans,333.4
2015-01-01,Gakenke,beans,348.7925
2015-02-01,Gakenke,beans,309.23199999999997
2015-03-01,Gakenke,beans,337.02
2015-04-01,Gakenke,beans,378.63199999999995
2015-05-01,Gakenke,beans,424.584
2015-06-01,Gakenke,beans,377.21999999999997
2015-07-01,Gakenke,beans,365.45
2015-08-01,Gakenke,beans,372.116
2015-09-01,Gakenke,beans,384.05
2015-10-01,Gakenke,beans,417.1
2015-11-01,Gakenke,beans,445.375
2015-12-01,Gakenke,beans,475.284
2008-01-01,Gatsibo,beans,250.0
2008-02-01,Gatsibo,beans,211.25
2008-03-01,Gatsibo,beans,235.0
2008-04-01,Gatsibo,beans,235.625
2008-05-01,Gatsibo,beans,245.0
2008-06-01,Gatsibo,beans,252.5
2008-07-01,Gatsibo,beans,284.16499999999996
